
Model:xception BatchSize:16 lr:0.000200

Model:xception BatchSize:16 lr:0.000200
epoch:000 batch:003000 loss:0.56774 avgloss:inf

Model:xception BatchSize:16 lr:0.000200
AUC:0.978176 TPR_2:0.541320 TPR_3:0.363323 TPR_4:0.230540 Test
epoch:005 batch:060000 loss:0.03853 avgloss:0.12088
AUC:0.985246 TPR_2:0.886764 TPR_3:0.784935 TPR_4:0.605147 validset
AUC:0.973114 TPR_2:0.436889 TPR_3:0.140111 TPR_4:0.013333 stylegan_celeba
AUC:0.891357 TPR_2:0.010226 TPR_3:0.001000 TPR_4:0.000000 stylegan_ffhq
AUC:0.890121 TPR_2:0.017107 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.997948 TPR_2:0.982567 TPR_3:0.735591 TPR_4:0.005978 stargan
AUC:0.971630 TPR_2:0.372018 TPR_3:0.093868 TPR_4:0.005351 pggan_v1
AUC:0.965479 TPR_2:0.321938 TPR_3:0.083853 TPR_4:0.006793 pggan_v2
AUC:0.988645 TPR_2:0.893525 TPR_3:0.726620 TPR_4:0.453608 Deepfakes
AUC:0.994405 TPR_2:0.952169 TPR_3:0.865074 TPR_4:0.707221 FaceSwap
AUC:0.991836 TPR_2:0.959299 TPR_3:0.904299 TPR_4:0.788422 Face2Face
AUC:0.962726 TPR_2:0.549526 TPR_3:0.394540 TPR_4:0.220079 Test
epoch:006 batch:063000 loss:0.06771 avgloss:0.11830
AUC:0.991116 TPR_2:0.909569 TPR_3:0.818323 TPR_4:0.723868 validset
AUC:0.979488 TPR_2:0.422222 TPR_3:0.089000 TPR_4:0.005667 stylegan_celeba
AUC:0.924731 TPR_2:0.005224 TPR_3:0.000111 TPR_4:0.000000 stylegan_ffhq
AUC:0.923912 TPR_2:0.014441 TPR_3:0.000444 TPR_4:0.000000 faceapp
AUC:0.996817 TPR_2:0.951809 TPR_3:0.679962 TPR_4:0.065441 stargan
AUC:0.980066 TPR_2:0.353289 TPR_3:0.046934 TPR_4:0.000446 pggan_v1
AUC:0.976132 TPR_2:0.270490 TPR_3:0.036526 TPR_4:0.001225 pggan_v2
AUC:0.995805 TPR_2:0.946777 TPR_3:0.853552 TPR_4:0.653999 Deepfakes
AUC:0.994240 TPR_2:0.937018 TPR_3:0.839665 TPR_4:0.697414 FaceSwap
AUC:0.993544 TPR_2:0.948296 TPR_3:0.873178 TPR_4:0.746328 Face2Face
AUC:0.973859 TPR_2:0.538841 TPR_3:0.379930 TPR_4:0.241169 Test
epoch:006 batch:066000 loss:0.12189 avgloss:0.11590
AUC:0.989808 TPR_2:0.899361 TPR_3:0.758960 TPR_4:0.615074 validset
AUC:0.986210 TPR_2:0.630556 TPR_3:0.111000 TPR_4:0.015556 stylegan_celeba
AUC:0.925978 TPR_2:0.019673 TPR_3:0.000222 TPR_4:0.000000 stylegan_ffhq
AUC:0.929458 TPR_2:0.036214 TPR_3:0.001333 TPR_4:0.000000 faceapp
AUC:0.992915 TPR_2:0.905946 TPR_3:0.324237 TPR_4:0.039885 stargan
AUC:0.983873 TPR_2:0.554849 TPR_3:0.070903 TPR_4:0.005017 pggan_v1
AUC:0.981481 TPR_2:0.486303 TPR_3:0.057572 TPR_4:0.008686 pggan_v2
AUC:0.996702 TPR_2:0.971366 TPR_3:0.881068 TPR_4:0.747607 Deepfakes
AUC:0.985577 TPR_2:0.861744 TPR_3:0.631840 TPR_4:0.479549 FaceSwap
